temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
246.08879,96.99447,93.32068,98.23973,0.0,0.0,0.0,0.0,6.167435920388226e-05,6.167435920388226e-05,-0.0,0.0,5.648740158873074e-06,5.648740158873074e-06,0.0,1.1318140205629018e-06,1.1318140205629018e-06,-0.0
247.0437,96.86399,93.06861,98.18155,0.0,0.0,0.0,0.0,6.506882997104192e-05,6.506882997104192e-05,-0.0,0.0,6.010738516690895e-06,6.010738516690895e-06,0.0,1.2047121177951345e-06,1.2047121177951345e-06,-0.0
247.99862,96.70531,92.81093,98.11747,0.0,0.0,0.0,0.0,6.866202425436405e-05,6.866202425436405e-05,-0.0,0.0,6.396801153637133e-06,6.396801153637133e-06,0.0,1.2824052845986637e-06,1.2824052845986637e-06,-0.0
248.95353,96.56531,92.55018,98.06027,0.0,0.0,0.0,0.0,7.246619273507677e-05,7.246619273507677e-05,-0.0,0.0,6.808575491326066e-06,6.808575491326066e-06,0.0,1.3652133891440638e-06,1.3652133891440638e-06,-0.0
249.90845,96.40644,92.27051,97.98236,0.0,0.0,0.0,0.0,7.649454889014779e-05,7.649454889014779e-05,-0.0,0.0,7.2478433764055425e-06,7.2478433764055425e-06,0.0,1.4534816133256868e-06,1.4534816133256868e-06,-0.0
250.86336,96.24748,91.96754,97.90818,0.0,0.0,0.0,0.0,8.076100534803936e-05,8.076100534803936e-05,-0.0,0.0,7.716495121727848e-06,7.716495121727848e-06,0.0,1.547575020931032e-06,1.547575020931032e-06,-0.0
251.81828,96.08699,91.6784,97.82681,0.0,0.0,0.0,0.0,8.528057178474864e-05,8.528057178474864e-05,-0.0,0.0,8.216575675031657e-06,8.216575675031657e-06,0.0,1.6478875998944534e-06,1.6478875998944534e-06,-0.0
252.77319,95.92095,91.36449,97.74969,0.0,0.0,0.0,0.0,9.006906082172988e-05,9.006906082172988e-05,-0.0,0.0,8.750255232591387e-06,8.750255232591387e-06,0.0,1.7548361043882712e-06,1.7548361043882712e-06,-0.0
253.72811,95.74721,91.05397,97.6665,0.0,0.0,0.0,0.0,9.514353615799443e-05,9.514353615799443e-05,-0.0,0.0,9.319881971101598e-06,9.319881971101598e-06,0.0,1.8688703461771714e-06,1.8688703461771714e-06,-0.0
254.68302,95.56277,90.72334,97.58442,0.0,0.0,0.0,0.0,0.00010052198430557475,0.00010052198430557475,-0.0,0.0,9.92794876614253e-06,9.92794876614253e-06,0.0,1.9904662114514637e-06,1.9904662114514637e-06,-0.0
255.63794,95.36216,90.36809,97.4974,0.0,0.0,0.0,0.0,0.00010622381972396913,0.00010622381972396913,-0.0,0.0,1.0577153455309471e-05,1.0577153455309471e-05,0.0,2.1201373771839474e-06,2.1201373771839474e-06,-0.0
256.59285,95.16733,89.98949,97.39913,0.0,0.0,0.0,0.0,0.00011226951821590368,0.00011226951821590368,-0.0,0.0,1.1270361127940804e-05,1.1270361127940804e-05,0.0,2.258427389689287e-06,2.258427389689287e-06,-0.0
257.54777,94.96131,89.63718,97.30937,0.0,0.0,0.0,0.0,0.00011868118679787246,0.00011868118679787246,-0.0,0.0,1.2010673035204271e-05,1.2010673035204271e-05,0.0,2.405923007073585e-06,2.405923007073585e-06,-0.0
258.50268,94.74771,89.27783,97.21606,0.0,0.0,0.0,0.0,0.00012548215404323328,0.00012548215404323328,-0.0,0.0,1.2801383842051188e-05,1.2801383842051188e-05,0.0,2.563245210696666e-06,2.563245210696666e-06,-0.0
259.4576,94.52432,88.8655,97.08852,0.0,0.0,0.0,0.0,0.0001326976135360043,0.0001326976135360043,-0.0,0.0,1.3646060470844179e-05,1.3646060470844179e-05,0.0,2.731064403648902e-06,2.731064403648902e-06,-0.0
